countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,phi_NR,workers,gdp_per_worker
IND,India,Indian Rupee,2005,2.753757e6,2.8283198e6,1140.042863,439.82794,,1.8328034,2.753757e6,2.8283198e6,5.7259975e6,0.3997015,2.828319744085014e6,5.7259975e6,1.0,0.48096794,44.09997499999999,0.30412963,0.29611188,1,1,0,0,0.4953885304430311,81.1111111111111,0.5323922,0.2877883,0.18694273,0.05101192,-0.07211131,0.013976126,0.32417936344001425,0.35271090314396486,0.1722419105933602,0.69555295,0.69065624,0.30508673,0.11912957,591.7187969252418,4779.837592952674
IRL,Ireland,Euro,2005,154695.89,181984.42,4.158042,1.9430737,1883.19,3.1895201,154695.89,181984.42,272577.88,1.4908359,181984.421875,272577.88,1.0,0.5072765,0.8041200000000001,1.3106494,1.1141177,1,1,0,0,0.7855314075505274,,0.40359408,0.24031019,0.11388684,0.8409611,-0.5113847,-0.08736746,1.2605638229096898,1.2614900729961407,1.5918737672958432,0.71877736,0.7552179,1.3814285,0.0057704803,2.0487651095520256,88826.39646025207
IRN,Iran,Iranian Rial,2005,728643.25,707534.3,69.732007,24.099354,,2.5708706,728643.25,707534.3,2.1177588e6,0.7023076,707534.3109642742,2.1177588e6,1.0,0.28605178,8963.958906666667,0.28214934,0.29056713,1,1,0,0,0.6063303369547974,70.55555555555556,0.46108395,0.24468127,0.19204488,0.16983913,-0.10258885,0.034939595,0.26909350086644096,0.3587381073429636,0.2159148524072987,0.56917703,0.6781463,0.28437153,0.041983746,49.78504435386944,14211.78431560458
ISL,Iceland,Iceland Krona,2005,10766.221,9420.136,0.296743,0.16130327,1794.0,2.9519353,10766.221,9420.136,37348.066,0.79139555,9420.135786407223,37348.066,1.0,0.7472434,62.98166666666667,1.512725,1.7288852,1,1,0,0,0.8151393228573612,,0.64034635,0.4329316,0.20977421,0.44957384,-0.72594005,-0.0066860323,1.604892921623071,1.125885805941013,2.02973584192038,0.72975004,0.7280729,1.2403389,0.0010458684,0.07500375045156478,125595.5293631716
ISR,Israel,New Israeli Sheqel,2005,161550.64,155744.28,6.604572,2.689037,1930.94,3.200239,161550.64,155744.28,433958.84,0.8578588,155744.28125,433958.84,1.0,0.5629268,4.4877,0.8292629,0.86017895,1,1,0,0,0.8543339732517103,,0.56842244,0.22120707,0.25123364,0.38296103,-0.43725342,0.013429291,0.8436693223565186,0.7335469273834571,0.8809444961094391,0.7170992,0.66127074,0.7026486,0.008744496,2.886681228054285,53952.71210980805
ITA,Italy,Euro,2005,1.6513591e6,1.6680989e6,58.671206,24.231617,1818.74,2.7676795,1.6513591e6,1.6680989e6,6.7694015e6,0.8914291,1.6680988334978414e6,6.7694015e6,1.0,0.5445776,0.8041200000000001,1.0817,1.0708449,1,1,0,0,0.8568613353867914,,0.592113,0.25527656,0.1431727,0.3083564,-0.30496526,0.0060465834,1.0673426671067971,0.8764259301615891,1.5070796021673734,0.7250768,0.7564905,0.89948106,0.008285425,26.720181531209946,62428.42598399312
JAM,Jamaica,Jamaican Dollar,2005,13498.843,11719.172,2.681653,1.069401,1970.64,2.8419032,13498.843,11719.172,29519.434,0.36024395,11719.172376588347,29519.434,1.0,0.54119974,62.28071494408369,0.8326091,0.95904905,0,1,0,0,,78.8888888888889,0.8170933,0.19228446,0.37227333,0.17658827,-0.65861756,0.10037824,0.925135820180122,1.3423029272459395,0.3662606132810443,0.73181456,0.63287693,1.6788328,0.0279603,1.2303430835797189,9525.12517151129
JOR,Jordan,Jordanian Dinar,2005,22362.818,23707.72,5.342002,1.4144533,,2.6861978,22362.818,23707.72,131744.42,0.35815626,23707.719941288233,131744.42,1.0,0.4501815,0.709,0.56292844,0.5309943,1,1,0,0,0.7453669982306523,71.66666666666667,0.7885098,0.43977925,0.10644122,0.26264185,-0.6729647,0.075592615,0.5913964874685738,0.4123157735856923,0.9743193204453656,0.6871539,0.65527636,0.36150888,0.0325834,2.937131610920906,8071.725698288236
JPN,Japan,Yen,2005,3.8811958e6,3.9676702e6,126.392944,63.25617,1807.67,3.1979356,3.8811958e6,3.9676702e6,1.6736074e7,0.76115984,3.9676701870089844e6,1.6736074e7,1.0,0.5193612,110.2182116666667,1.1779532,1.15228,1,1,0,0,0.8124125422835022,,0.54775184,0.24072702,0.17595562,0.19392806,-0.15514408,-0.0032184846,1.215396662490559,1.075389119559075,1.201710440772554,0.77321035,0.8380427,1.1207323,0.0015042855,60.74935319192791,65312.13982583119
KEN,Kenya,Kenyan Shilling,2005,40607.473,41543.695,35.614576,13.378019,,2.1677525,40607.473,41543.695,80507.766,0.17716174,41543.69385265501,80507.766,1.0,0.68323654,75.55410945143106,0.46147147,0.45107186,1,1,0,0,0.4752011635132019,57.77777777777778,0.8111847,0.13920668,0.12174358,0.11475389,-0.21951096,0.032622114,0.41924094055713995,0.5480055067773174,0.6439093254240723,0.71736634,0.64107674,0.46394813,0.11379888,11.281396342848778,3682.4958586650796
